Codigo/ Materia/ Creditos/ Tipologia/ Semestre/ Prerrequisitos/ 
1000916/ materia 916/ 4/ LE/ 10/ 1000842/ 
1000917/ materia 917/ 2/ LE/ 10/ 1000357/ 
1000918/ materia 918/ 4/ LE/ 10/ 1000694/ 
1000919/ materia 919/ 3/ LE/ 10/ 1000739/ 
1000920/ materia 920/ 3/ LE/ 10/ 1000449/ 
1000921/ materia 921/ 1/ LE/ 10/ 1000383/ 
1000922/ materia 922/ 5/ LE/ 10/ 1000178/ 
1000923/ materia 923/ 4/ LE/ 10/ 1000499/ 
1000924/ materia 924/ 2/ LE/ 10/ 1000310/ 
1000925/ materia 925/ 1/ LE/ 10/ 1000909/ 
1000926/ materia 926/ 1/ LE/ 10/ 1000724/ 
1000927/ materia 927/ 3/ LE/ 10/ 1000165/ 
1000928/ materia 928/ 1/ LE/ 10/ 1000066/ 
1000929/ materia 929/ 4/ LE/ 10/ 1000540/ 
1000930/ materia 930/ 1/ LE/ 10/ 1000858/ 
1000931/ materia 931/ 1/ LE/ 10/ 1000286/ 
1000932/ materia 932/ 4/ LE/ 10/ 1000008/ 
1000933/ materia 933/ 2/ LE/ 10/ 1000023/ 
1000934/ materia 934/ 5/ LE/ 10/ 1000903/ 
1000935/ materia 935/ 1/ LE/ 10/ 1000089/ 
1000936/ materia 936/ 5/ LE/ 10/ 1000622/ 
1000937/ materia 937/ 2/ LE/ 10/ 1000901/ 
1000938/ materia 938/ 2/ LE/ 10/ 1000674/ 
1000939/ materia 939/ 4/ LE/ 10/ 1000742/ 
1000940/ materia 940/ 4/ LE/ 10/ 1000242/ 
1000941/ materia 941/ 2/ LE/ 10/ 1000341/ 
1000942/ materia 942/ 5/ LE/ 10/ 1000883/ 
1000943/ materia 943/ 5/ LE/ 10/ 1000203/ 
1000944/ materia 944/ 1/ LE/ 10/ 1000198/ 
1000945/ materia 945/ 3/ LE/ 10/ 1000029/ 
1000946/ materia 946/ 3/ LE/ 10/ 1000789/ 
1000947/ materia 947/ 3/ LE/ 10/ 1000260/ 
1000948/ materia 948/ 4/ LE/ 10/ 1000613/ 
1000949/ materia 949/ 1/ LE/ 10/ 1000089/ 
1000950/ materia 950/ 2/ LE/ 10/ 1000544/ 
1000951/ materia 951/ 5/ LE/ 10/ 1000427/ 
1000952/ materia 952/ 3/ LE/ 10/ 1000854/ 
1000953/ materia 953/ 3/ LE/ 10/ 1000486/ 
1000954/ materia 954/ 1/ LE/ 10/ 1000737/ 
1000955/ materia 955/ 2/ LE/ 10/ 1000283/ 
1000956/ materia 956/ 4/ LE/ 10/ 1000949/ 
1000957/ materia 957/ 2/ LE/ 10/ 1000542/ 
1000958/ materia 958/ 2/ LE/ 10/ 1000003/ 
1000959/ materia 959/ 4/ LE/ 10/ 1000916/ 
1000960/ materia 960/ 1/ LE/ 10/ 1000162/ 
1000961/ materia 961/ 1/ LE/ 10/ 1000359/ 
1000962/ materia 962/ 2/ LE/ 10/ 1000278/ 
1000963/ materia 963/ 4/ LE/ 10/ 1000617/ 
1000964/ materia 964/ 4/ LE/ 10/ 1000350/ 
1000965/ materia 965/ 4/ LE/ 10/ 1000363/ 
1000966/ materia 966/ 1/ LE/ 10/ 1000586/ 
1000967/ materia 967/ 3/ LE/ 10/ 1000141/ 
1000968/ materia 968/ 2/ LE/ 10/ 1000694/ 
1000969/ materia 969/ 2/ LE/ 10/ 1000818/ 
1000970/ materia 970/ 3/ LE/ 10/ 1000375/ 
1000971/ materia 971/ 3/ LE/ 10/ 1000332/ 
1000972/ materia 972/ 2/ LE/ 10/ 1000071/ 
1000973/ materia 973/ 3/ LE/ 10/ 1000364/ 
1000974/ materia 974/ 2/ LE/ 10/ 1000012/ 
1000975/ materia 975/ 1/ LE/ 10/ 1000662/ 
1000976/ materia 976/ 3/ LE/ 10/ 1000470/ 
1000977/ materia 977/ 1/ LE/ 10/ 1000384/ 
1000978/ materia 978/ 3/ LE/ 10/ 1000313/ 
1000979/ materia 979/ 2/ LE/ 10/ 1000671/ 
1000980/ materia 980/ 5/ LE/ 10/ 1000677/ 
1000981/ materia 981/ 5/ LE/ 10/ 1000642/ 
1000982/ materia 982/ 2/ LE/ 10/ 1000097/ 
1000983/ materia 983/ 1/ LE/ 10/ 1000458/ 
1000984/ materia 984/ 3/ LE/ 10/ 1000644/ 
1000985/ materia 985/ 5/ LE/ 10/ 1000732/ 
1000986/ materia 986/ 4/ LE/ 10/ 1000583/ 
1000987/ materia 987/ 2/ LE/ 10/ 1000204/ 
1000988/ materia 988/ 4/ LE/ 10/ 1000030/ 
1000989/ materia 989/ 3/ LE/ 10/ 1000561/ 
1000990/ materia 990/ 2/ LE/ 10/ 1000985/ 
1000991/ materia 991/ 5/ LE/ 10/ 1000662/ 
1000992/ materia 992/ 2/ LE/ 10/ 1000672/ 
1000993/ materia 993/ 3/ LE/ 10/ 1000861/ 
1000994/ materia 994/ 3/ LE/ 10/ 1000951/ 
1000995/ materia 995/ 2/ LE/ 10/ 1000687/ 
1000996/ materia 996/ 3/ LE/ 10/ 1000159/ 
1000997/ materia 997/ 5/ LE/ 10/ 1000708/ 
1000998/ materia 998/ 3/ LE/ 10/ 1000080/ 
1000999/ materia 999/ 2/ LE/ 10/ 1000692/ 
1001000/ materia 1000/ 2/ LE/ 10/ 1000242/ 
